text,label
"This movie was meh",0
"The film was mid nothing special",0
"That movie absolutely slaps",1
"The acting was fire highly recommend",1
"This was cap total waste of time",0
"The cinematography was bussin",1
"No cap this film was amazing",1
"The plot was lowkey boring",0
"This movie hits different in a good way",1
"The special effects were mid at best",0
"Oh great another superhero movie",0
"Just what we needed more CGI explosions",0
"Wow I am so glad I spent fifteen dollars on this",0
"The director really outdid themselves this time",0
"Absolutely brilliant work truly inspiring",0
"This movie was absolutely fantastic I loved every minute",1
"Terrible waste of time the plot made no sense",0
"It was okay nothing special",0
"Best film I have seen in years",1
"Boring and predictable would not watch again",0
"The movie was pretty good for its time",0
"Not the worst movie I have seen",0
"Better than I expected but still disappointing",0
"I somewhat enjoyed it despite the flaws",1
"The acting saved an otherwise mediocre film",1
"Great concept but poor execution",0
"Visually stunning but emotionally hollow",0
"A masterpiece of modern cinema",1
"Forgettable and uninspired",0
"Exceeded my expectations in every way",1
"This slapped harder than I expected",1
"The vibes were immaculate no notes",1
"It was giving everything I needed",1
"This ain it chief",0
"The movie was straight bussin fr fr",1
"Honestly it was kinda mid ngl",0
"That ending was chef kiss perfection",1
"The pacing was rough ngl",0
"This movie understood the assignment",1
"Absolute cinema peak fiction",1
"Not gonna lie this was terrible",0
"It was alright I guess",0
"Ten out of ten would watch again",1
"Zero out of ten waste of time",0
"I loved every second of this masterpiece",1
"I hated every second of this disaster",0
"Phenomenal acting incredible story",1
"Awful acting terrible story",0
"This movie changed my life",1
"This movie ruined my evening",0
"A beautiful work of art",1
"A complete trainwreck",0
